Season,Outcome,T1_ID,T2_ID,T1_Team_GP,T1_Team_PTS,T1_Team_FGM,T1_Team_FGA,T1_Team_ThreePM,T1_Team_ThreePA,T1_Team_FTM,T1_Team_FTA,T1_Team_OR,T1_Team_DR,T1_Team_REB,T1_Team_AST,T1_Team_STL,T1_Team_BLK,T1_Team_TO,T1_Team_PF,T1_Team_FG_percent,T1_Team_ThreeP_percent,T1_Team_FT_percent,T1_Team_BPI,T1_Team_DEF_I,T1_Team_OFF_I,T1_Team_CONF,T1_Team_QUAL_WINS,T1_Team_SOR_RK,T1_Team_SOS_RK,T1_Team_QUAL_LOSS,T1_Team_Wins,T1_Team_Losses,T2_Team_GP,T2_Team_PTS,T2_Team_FGM,T2_Team_FGA,T2_Team_ThreePM,T2_Team_ThreePA,T2_Team_FTM,T2_Team_FTA,T2_Team_OR,T2_Team_DR,T2_Team_REB,T2_Team_AST,T2_Team_STL,T2_Team_BLK,T2_Team_TO,T2_Team_PF,T2_Team_FG_percent,T2_Team_ThreeP_percent,T2_Team_FT_percent,T2_Team_BPI,T2_Team_DEF_I,T2_Team_OFF_I,T2_Team_CONF,T2_Team_QUAL_WINS,T2_Team_SOR_RK,T2_Team_SOS_RK,T2_Team_QUAL_LOSS,T2_Team_Wins,T2_Team_Losses
2016,0.0,1328,1401,37.0,79.7,27.5,60.1,10.3,24.5,14.3,19.8,11.0,27.3,38.3,14.5,6.7,5.1,13.1,17.0,45.8,42.2,72.2,14.9,4.8,10.1,32,13.0,5.0,2.0,6.0,29.0,8.0,40.0,78.5,25.8,70.3,5.6,35.1,11.3,28.0,8.2,22.6,32.2,11.8,3.9,2.3,14.7,15.5,41.7,31.0,65.7,13.0,7.5,5.5,27,8.0,20.0,56.0,4.0,28.0,9.0
2013,0.0,1388,1292,35.0,74.6,26.0,55.4,7.8,20.8,14.8,20.4,12.1,24.9,37.0,14.3,6.1,2.8,11.9,17.5,46.9,37.5,72.5,12.1,3.5,8.6,35,2.0,29.0,112.0,4.0,28.0,7.0,40.0,72.8,24.1,73.4,4.1,40.8,9.5,30.9,6.2,18.7,26.0,10.8,3.6,1.1,18.1,12.7,40.0,29.9,60.8,7.9,-4.4,-4.0,28,0.0,50.0,331.0,14.0,13.0,16.0
2017,0.0,1314,1411,40.0,84.4,30.7,65.8,7.1,20.0,16.1,22.9,15.8,28.0,43.7,18.1,7.1,3.5,11.8,17.8,46.6,35.5,70.1,19.4,8.2,11.3,36,16.0,1.0,5.0,6.0,33.0,7.0,40.0,72.8,24.1,73.4,4.1,40.8,9.5,30.9,6.2,18.7,26.0,10.8,3.6,1.1,18.1,12.7,40.0,29.9,60.8,7.9,-4.4,-4.0,28,0.0,50.0,331.0,14.0,13.0,16.0
2013,0.0,1276,1433,39.0,75.2,28.0,57.9,7.6,19.7,11.5,16.5,10.7,24.4,35.0,14.5,6.1,2.8,9.4,12.7,48.4,38.5,70.1,16.1,5.0,11.0,30,11.0,2.0,3.0,7.0,31.0,8.0,35.0,77.5,28.3,62.5,7.9,22.3,13.0,18.5,13.7,20.8,34.5,14.7,11.8,3.1,11.6,19.5,45.3,35.5,70.1,14.4,4.8,9.6,31,3.0,32.0,78.0,7.0,27.0,9.0
2021,0.0,1328,1281,33.0,76.8,26.3,67.1,4.8,30.0,11.0,24.0,6.2,23.2,32.5,12.1,4.5,2.0,16.7,13.7,41.8,31.2,66.1,11.0,4.6,6.4,32,6.0,42.0,36.0,9.0,16.0,11.0,33.0,76.8,26.3,67.1,4.8,30.0,11.0,24.0,6.2,23.2,32.5,12.1,4.5,2.0,16.7,13.7,41.8,31.2,66.1,9.0,4.2,4.8,27,6.0,30.0,18.0,7.0,16.0,10.0
2011,0.0,1153,1281,38.0,74.1,24.3,67.2,4.6,31.5,11.9,30.3,9.3,21.9,31.8,11.2,4.2,1.8,16.9,14.0,42.2,31.5,62.2,10.9,8.8,2.1,29,6.0,20.0,52.0,8.0,26.0,9.0,34.0,80.8,28.9,63.1,7.2,19.7,15.8,21.4,12.5,22.7,35.2,16.4,9.7,5.0,12.7,20.2,45.8,36.6,73.9,11.6,0.4,11.1,32,4.0,41.0,54.0,8.0,23.0,11.0
2014,0.0,1246,1276,37.0,76.2,25.1,69.7,4.2,27.5,13.9,30.9,7.1,18.9,26.0,10.8,3.6,1.4,15.7,16.7,42.4,29.9,62.6,14.9,6.0,8.9,27,7.0,10.0,4.0,8.0,29.0,10.0,37.0,76.2,25.1,69.7,4.2,27.5,13.9,30.9,7.1,18.9,26.0,10.8,3.6,1.4,15.7,16.7,42.4,29.9,62.6,15.7,7.0,8.7,30,8.0,7.0,1.0,7.0,28.0,9.0
2015,0.0,1116,1459,36.0,77.4,27.2,61.0,6.6,18.9,16.5,22.8,13.1,22.8,35.8,16.1,7.7,4.7,11.9,19.0,44.5,34.9,72.4,10.0,-0.4,10.4,27,5.0,20.0,59.0,6.0,27.0,9.0,39.0,72.8,24.1,69.1,4.8,35.9,12.2,25.8,7.5,21.2,30.8,12.1,4.7,1.7,15.0,14.2,40.0,31.7,64.7,8.1,-4.4,-2.3,33,1.0,48.0,192.0,3.0,28.0,7.0
2012,0.0,1196,1266,37.0,75.9,26.4,56.9,9.6,25.4,13.5,18.9,11.2,24.5,35.7,14.9,6.3,3.4,11.1,15.5,46.3,38.0,71.3,15.3,3.5,11.8,27,6.0,19.0,27.0,7.0,26.0,11.0,35.0,75.4,26.3,58.1,5.7,17.0,17.1,23.7,11.8,24.5,36.3,16.6,8.7,3.5,13.2,17.7,45.2,33.7,72.1,13.7,3.2,10.5,29,8.0,13.0,31.0,6.0,27.0,8.0
2013,0.0,1139,1137,40.0,72.9,24.6,65.6,4.9,28.0,11.5,25.6,8.3,18.7,27.5,12.3,4.6,1.1,14.7,12.7,42.2,30.0,63.2,9.0,4.6,4.4,31,5.0,20.0,43.0,6.0,27.0,9.0,40.0,72.9,24.6,65.6,4.9,28.0,11.5,25.6,8.3,18.7,27.5,12.3,4.6,1.1,14.7,12.7,42.2,30.0,63.2,8.4,-1.3,-1.7,34,1.0,46.0,210.0,2.0,28.0,6.0
2014,0.0,1107,1291,40.0,72.8,24.1,73.4,4.1,40.8,9.5,30.9,6.2,18.7,26.0,10.8,3.6,1.1,18.1,12.7,40.0,29.9,60.8,7.9,-4.4,-4.0,28,0.0,50.0,331.0,14.0,13.0,16.0,40.0,72.8,24.1,73.4,4.1,40.8,9.5,30.9,6.2,18.7,26.0,10.8,3.6,1.1,18.1,12.7,40.0,29.9,60.8,7.9,-4.4,-4.0,28,0.0,50.0,331.0,14.0,13.0,16.0
2017,0.0,1345,1235,35.0,79.7,28.0,58.4,9.0,22.3,14.7,19.4,9.8,27.9,37.7,18.3,5.2,2.5,13.0,15.8,47.9,40.3,75.7,16.1,7.2,8.9,30,10.0,16.0,40.0,6.0,27.0,8.0,35.0,80.8,29.5,62.5,9.8,24.6,12.1,17.3,9.1,25.7,34.8,15.8,7.8,3.5,10.1,15.9,47.2,40.0,70.0,14.7,5.1,9.6,32,14.0,15.0,2.0,9.0,24.0,11.0
2019,0.0,1403,1211,39.0,78.2,26.1,68.5,6.2,35.9,10.7,26.4,6.8,22.5,32.7,11.6,4.5,1.4,15.5,15.0,42.4,30.2,63.3,18.8,12.6,6.2,32,15.0,5.0,22.0,6.0,31.0,7.0,37.0,87.6,31.8,60.5,7.8,21.4,16.3,21.4,9.9,29.1,39.0,18.1,7.5,5.5,10.6,16.3,52.6,36.3,76.1,23.1,9.0,14.0,35,6.0,10.0,74.0,4.0,33.0,4.0
2019,0.0,1278,1257,39.0,78.2,26.1,68.5,6.2,35.9,10.7,26.4,6.8,22.5,32.7,11.6,4.5,1.4,15.5,15.0,42.4,30.2,63.3,8.8,1.6,0.1,30,9.0,28.0,13.0,11.0,22.0,14.0,39.0,78.2,26.1,68.5,6.2,35.9,10.7,26.4,6.8,22.5,32.7,11.6,4.5,1.4,15.5,15.0,42.4,30.2,63.3,13.4,6.6,6.8,36,6.0,31.0,10.0,11.0,20.0,14.0
2021,0.0,1276,1199,33.0,76.8,26.3,67.1,4.8,30.0,11.0,24.0,6.2,23.2,32.5,12.1,4.5,2.0,16.7,13.7,41.8,31.2,66.1,17.4,7.7,9.7,30,13.0,4.0,15.0,3.0,23.0,5.0,25.0,77.2,27.7,58.4,7.7,20.4,14.0,19.0,11.1,25.6,36.7,14.5,7.3,5.1,14.4,18.4,47.4,37.6,74.1,12.7,5.7,7.0,36,9.0,16.0,39.0,5.0,18.0,7.0
2010,0.0,1320,1424,39.0,75.0,25.1,73.1,4.7,35.4,9.5,29.7,8.9,20.7,31.7,12.1,4.9,1.9,17.9,13.9,41.7,32.1,60.9,10.3,12.9,-2.7,37,4.0,17.0,104.0,1.0,30.0,5.0,39.0,75.0,25.1,73.1,4.7,35.4,9.5,29.7,8.9,20.7,31.7,12.1,4.9,1.9,17.9,13.9,41.7,32.1,60.9,10.8,4.9,5.9,28,0.0,50.0,254.0,10.0,20.0,13.0
2021,0.0,1353,1155,33.0,76.8,26.3,67.1,4.8,30.0,11.0,24.0,6.2,23.2,32.5,12.1,4.5,2.0,16.7,13.7,41.8,31.2,66.1,9.6,6.4,3.2,30,8.0,27.0,2.0,10.0,16.0,12.0,33.0,76.8,26.3,67.1,4.8,30.0,11.0,24.0,6.2,23.2,32.5,12.1,4.5,2.0,16.7,13.7,41.8,31.2,66.1,9.5,7.3,2.3,36,8.0,26.0,34.0,7.0,16.0,8.0
2014,0.0,1246,1455,37.0,76.2,25.1,69.7,4.2,27.5,13.9,30.9,7.1,18.9,26.0,10.8,3.6,1.4,15.7,16.7,42.4,29.9,62.6,14.9,6.0,8.9,27,7.0,10.0,4.0,8.0,29.0,10.0,37.0,76.2,25.1,69.7,4.2,27.5,13.9,30.9,7.1,18.9,26.0,10.8,3.6,1.4,15.7,16.7,42.4,29.9,62.6,14.6,9.2,5.4,37,2.0,6.0,154.0,1.0,35.0,1.0
2021,0.0,1211,1417,32.0,91.0,33.7,61.4,7.5,20.4,16.0,21.9,9.3,27.8,37.2,18.8,7.9,2.8,12.0,16.3,54.9,36.8,73.1,21.3,6.3,15.0,35,11.0,2.0,72.0,1.0,31.0,1.0,33.0,76.8,26.3,67.1,4.8,30.0,11.0,24.0,6.2,23.2,32.5,12.1,4.5,2.0,16.7,13.7,41.8,31.2,66.1,11.4,3.3,8.1,38,6.0,14.0,28.0,7.0,22.0,10.0
2014,0.0,1257,1387,37.0,81.0,28.4,60.3,7.8,21.2,16.4,24.9,13.6,24.1,37.7,15.4,10.0,4.7,10.6,19.5,47.1,36.8,66.1,20.1,9.4,10.7,43,7.0,16.0,95.0,6.0,31.0,6.0,37.0,76.2,25.1,69.7,4.2,27.5,13.9,30.9,7.1,18.9,26.0,10.8,3.6,1.4,15.7,16.7,42.4,29.9,62.6,9.9,8.9,1.0,31,4.0,23.0,92.0,5.0,27.0,7.0
2012,0.0,1231,1433,36.0,77.3,26.4,53.6,6.4,14.8,18.2,23.8,10.6,23.8,34.4,13.5,6.5,3.2,12.9,17.6,49.2,43.1,76.3,15.2,3.2,12.1,30,9.0,11.0,11.0,7.0,27.0,9.0,39.0,73.4,24.9,66.4,4.4,26.9,11.6,29.4,8.7,20.3,29.0,11.6,4.8,1.7,16.1,14.3,42.3,31.9,62.4,8.2,5.5,2.7,39,2.0,32.0,127.0,3.0,29.0,7.0
2015,0.0,1458,1112,39.0,72.8,24.1,69.1,4.8,35.9,12.2,25.8,7.5,21.2,30.8,12.1,4.7,1.7,15.0,14.2,40.0,31.7,64.7,21.7,11.3,10.4,30,16.0,2.0,10.0,2.0,36.0,3.0,38.0,76.6,26.6,54.4,5.1,14.1,18.4,25.6,10.8,26.0,36.8,13.9,7.2,3.4,11.0,17.9,48.8,36.0,71.9,19.6,8.9,10.7,38,5.0,9.0,76.0,1.0,34.0,4.0
2018,0.0,1326,1355,40.0,79.5,26.5,73.4,5.6,40.8,11.6,26.4,6.7,22.2,31.6,11.9,4.1,2.0,15.8,15.2,40.0,30.0,60.8,13.8,6.6,7.3,30,4.0,16.0,35.0,9.0,25.0,9.0,40.0,72.8,24.1,73.4,4.1,40.8,9.5,30.9,6.2,18.7,26.0,10.8,3.6,1.1,18.1,12.7,40.0,29.9,60.8,7.9,-4.4,-4.0,28,0.0,50.0,331.0,14.0,13.0,16.0
2012,0.0,1378,1396,39.0,73.4,24.9,66.4,4.4,26.9,11.6,29.4,8.7,20.3,29.0,11.6,4.8,1.7,16.1,14.3,42.3,31.9,62.4,7.9,-3.5,-3.1,29,6.0,48.0,37.0,7.0,22.0,14.0,32.0,75.0,26.9,57.4,7.1,17.9,14.1,19.6,10.4,24.4,34.8,15.4,7.2,4.2,12.5,17.7,46.9,39.7,71.9,9.8,1.5,8.3,31,4.0,24.0,60.0,2.0,24.0,8.0
2010,0.0,1307,1285,35.0,75.9,25.3,57.8,7.8,21.1,17.4,26.0,13.1,25.4,38.5,14.2,6.6,3.4,11.1,17.6,43.8,36.9,66.9,9.7,2.4,7.3,40,6.0,23.0,117.0,2.0,30.0,5.0,40.0,72.8,24.1,73.4,4.1,40.8,9.5,30.9,6.2,18.7,26.0,10.8,3.6,1.1,18.1,12.7,40.0,29.9,60.8,7.9,-4.4,-4.0,28,0.0,50.0,331.0,14.0,13.0,16.0
2016,0.0,1455,1435,40.0,78.5,25.8,70.3,5.6,35.1,11.3,28.0,8.2,22.6,32.2,11.8,3.9,2.3,14.7,15.5,41.7,31.0,65.7,14.4,11.1,3.3,28,1.0,50.0,164.0,12.0,19.0,15.0,40.0,78.5,25.8,70.3,5.6,35.1,11.3,28.0,8.2,22.6,32.2,11.8,3.9,2.3,14.7,15.5,41.7,31.0,65.7,13.6,7.6,6.0,28,1.0,50.0,164.0,12.0,19.0,15.0
2017,0.0,1211,1376,39.0,82.6,29.5,58.5,7.3,19.2,16.4,22.8,9.7,31.0,40.7,15.3,6.8,4.7,11.5,16.9,50.4,38.2,71.7,20.4,9.5,10.8,35,10.0,3.0,82.0,1.0,37.0,2.0,40.0,78.8,26.4,71.5,6.2,40.8,11.5,26.1,6.9,23.0,32.1,11.3,4.0,2.3,15.2,15.8,41.0,32.2,64.8,11.4,9.4,2.0,27,8.0,24.0,39.0,6.0,26.0,11.0
2009,0.0,1462,1340,39.0,75.5,25.1,71.2,4.1,38.3,12.0,27.7,9.2,21.1,32.9,11.0,5.2,1.6,17.5,13.1,41.5,30.9,63.9,13.5,7.3,6.1,31,5.0,17.0,55.0,4.0,27.0,8.0,40.0,72.8,24.1,73.4,4.1,40.8,9.5,30.9,6.2,18.7,26.0,10.8,3.6,1.1,18.1,12.7,40.0,29.9,60.8,7.9,-4.4,-4.0,28,0.0,50.0,331.0,14.0,13.0,16.0
2012,0.0,1325,1276,39.0,73.4,24.9,66.4,4.4,26.9,11.6,29.4,8.7,20.3,29.0,11.6,4.8,1.7,16.1,14.3,42.3,31.9,62.4,7.9,-3.5,-3.1,47,1.0,39.0,132.0,2.0,29.0,8.0,39.0,73.4,24.9,66.4,4.4,26.9,11.6,29.4,8.7,20.3,29.0,11.6,4.8,1.7,16.1,14.3,42.3,31.9,62.4,10.7,8.1,2.6,30,9.0,14.0,3.0,7.0,24.0,10.0
2018,0.0,1401,1344,40.0,79.5,26.5,73.4,5.6,40.8,11.6,26.4,6.7,22.2,31.6,11.9,4.1,2.0,15.8,15.2,40.0,30.0,60.8,10.8,6.7,4.1,27,7.0,23.0,6.0,8.0,22.0,13.0,40.0,79.5,26.5,73.4,5.6,40.8,11.6,26.4,6.7,22.2,31.6,11.9,4.1,2.0,15.8,15.2,40.0,30.0,60.8,9.0,-0.2,1.2,29,7.0,42.0,22.0,11.0,21.0,14.0
2008,0.0,1458,1243,40.0,76.2,24.6,73.3,5.1,36.0,11.4,29.3,9.2,21.0,33.5,10.8,4.1,1.5,18.1,15.0,40.5,31.4,61.4,16.5,14.4,2.1,30,7.0,9.0,64.0,5.0,31.0,5.0,33.0,78.0,27.8,62.6,6.4,20.1,16.1,23.5,16.3,24.9,41.3,15.5,7.5,3.4,15.2,20.2,44.3,31.7,68.7,9.6,1.1,8.6,32,5.0,42.0,48.0,8.0,21.0,12.0
2009,0.0,1211,1103,34.0,78.9,28.4,58.3,7.4,18.9,14.7,20.5,10.1,27.4,37.5,15.1,7.2,5.1,11.4,16.2,48.8,39.0,71.7,15.4,2.6,12.8,35,7.0,14.0,71.0,3.0,28.0,6.0,40.0,72.8,24.1,73.4,4.1,40.8,9.5,30.9,6.2,18.7,26.0,10.8,3.6,1.1,18.1,12.7,40.0,29.9,60.8,7.9,-4.4,-4.0,28,0.0,50.0,331.0,14.0,13.0,16.0
2021,0.0,1437,1317,33.0,76.8,26.3,67.1,4.8,30.0,11.0,24.0,6.2,23.2,32.5,12.1,4.5,2.0,16.7,13.7,41.8,31.2,66.1,15.1,4.2,10.9,29,5.0,18.0,47.0,3.0,18.0,7.0,40.0,72.8,24.1,73.4,4.1,40.8,9.5,30.9,6.2,18.7,26.0,10.8,3.6,1.1,18.1,12.7,40.0,29.9,60.8,7.9,-4.4,-4.0,28,0.0,50.0,331.0,14.0,13.0,16.0
2013,0.0,1241,1254,40.0,72.8,24.1,73.4,4.1,40.8,9.5,30.9,6.2,18.7,26.0,10.8,3.6,1.1,18.1,12.7,40.0,29.9,60.8,7.9,-4.4,-4.0,28,0.0,50.0,331.0,14.0,13.0,16.0,34.0,78.7,26.9,56.1,7.2,19.0,17.7,25.6,11.9,23.5,35.4,15.2,6.8,3.4,14.3,17.6,48.0,38.0,69.0,8.4,-1.3,-1.7,28,1.0,50.0,210.0,11.0,20.0,14.0
2012,0.0,1211,1452,33.0,73.8,24.9,52.7,6.5,17.2,17.4,24.3,10.9,26.0,36.8,13.8,6.8,3.2,13.1,15.6,47.3,37.9,71.6,11.2,4.4,6.8,35,5.0,22.0,83.0,5.0,26.0,7.0,39.0,73.4,24.9,66.4,4.4,26.9,11.6,29.4,8.7,20.3,29.0,11.6,4.8,1.7,16.1,14.3,42.3,31.9,62.4,9.9,2.6,7.3,28,0.0,50.0,288.0,12.0,20.0,15.0
2008,0.0,1400,1122,40.0,76.2,24.6,73.3,5.1,36.0,11.4,29.3,9.2,21.0,33.5,10.8,4.1,1.5,18.1,15.0,40.5,31.4,61.4,13.7,4.3,9.4,32,11.0,7.0,25.0,6.0,31.0,7.0,40.0,72.8,24.1,73.4,4.1,40.8,9.5,30.9,6.2,18.7,26.0,10.8,3.6,1.1,18.1,12.7,40.0,29.9,60.8,7.9,-4.4,-4.0,28,0.0,50.0,331.0,14.0,13.0,16.0
2013,0.0,1361,1328,40.0,72.9,24.6,65.6,4.9,28.0,11.5,25.6,8.3,18.7,27.5,12.3,4.6,1.1,14.7,12.7,42.2,30.0,63.2,10.8,6.0,4.8,40,5.0,49.0,74.0,8.0,23.0,11.0,40.0,72.9,24.6,65.6,4.9,28.0,11.5,25.6,8.3,18.7,27.5,12.3,4.6,1.1,14.7,12.7,42.2,30.0,63.2,9.7,3.3,6.4,32,5.0,47.0,28.0,8.0,20.0,12.0
2021,0.0,1124,1437,30.0,82.9,30.6,62.9,10.0,24.1,11.8,16.7,12.8,23.2,36.0,16.9,8.9,3.7,11.5,17.1,48.6,41.3,70.8,20.7,6.8,13.9,32,14.0,1.0,43.0,2.0,28.0,2.0,33.0,76.8,26.3,67.1,4.8,30.0,11.0,24.0,6.2,23.2,32.5,12.1,4.5,2.0,16.7,13.7,41.8,31.2,66.1,15.1,4.2,10.9,29,5.0,18.0,47.0,3.0,18.0,7.0
2018,0.0,1104,1439,40.0,79.5,26.5,73.4,5.6,40.8,11.6,26.4,6.7,22.2,31.6,11.9,4.1,2.0,15.8,15.2,40.0,30.0,60.8,9.0,-0.2,1.2,27,9.0,50.0,15.0,10.0,20.0,16.0,33.0,79.8,28.2,56.5,8.8,22.6,14.6,20.6,7.5,25.2,32.7,16.4,5.8,2.2,12.0,15.8,49.9,38.8,70.9,11.2,3.2,8.0,36,6.0,39.0,43.0,10.0,21.0,12.0
2019,0.0,1416,1433,39.0,78.2,26.1,68.5,6.2,35.9,10.7,26.4,6.8,22.5,32.7,11.6,4.5,1.4,15.5,15.0,42.4,30.2,63.3,10.5,6.0,4.5,43,3.0,35.0,71.0,3.0,24.0,9.0,39.0,78.2,26.1,68.5,6.2,35.9,10.7,26.4,6.8,22.5,32.7,11.6,4.5,1.4,15.5,15.0,42.4,30.2,63.3,10.0,9.9,0.1,31,1.0,49.0,98.0,2.0,25.0,8.0
2017,0.0,1246,1455,38.0,84.9,29.8,63.1,7.0,19.9,18.2,25.8,12.4,27.4,39.8,15.4,6.0,5.3,11.7,18.8,47.3,35.3,70.3,17.5,7.9,9.6,27,10.0,5.0,31.0,5.0,32.0,6.0,36.0,81.0,27.6,58.8,8.6,21.4,17.3,23.6,12.0,28.9,40.9,16.3,6.5,3.9,11.3,18.8,46.9,40.3,73.3,15.7,8.5,7.2,37,1.0,28.0,116.0,4.0,31.0,5.0
2012,0.0,1277,1387,39.0,73.4,24.9,66.4,4.4,26.9,11.6,29.4,8.7,20.3,29.0,11.6,4.8,1.7,16.1,14.3,42.3,31.9,62.4,17.6,9.9,7.7,30,14.0,5.0,1.0,6.0,29.0,8.0,39.0,73.4,24.9,66.4,4.4,26.9,11.6,29.4,8.7,20.3,29.0,11.6,4.8,1.7,16.1,14.3,42.3,31.9,62.4,12.0,10.4,1.6,31,3.0,26.0,73.0,4.0,26.0,8.0
